id,img_name,color_group,parent_color,strategy
lipstick__bobbi_brown__luxe_matte_lipstick__plum_noir,lipstick__bobbi_brown__luxe_matte_lipstick__plum_noir.jpg,purple_fuchsia,purple plum,color_coverage
lipstick__bareminerals__barepro_longwear_lipstick__raisin,lipstick__bareminerals__barepro_longwear_lipstick__raisin.jpg,purple_fuchsia,purple wine,color_coverage
lipstick__revlon__super_lustrous_lipstick__663_va_va_violet,lipstick__revlon__super_lustrous_lipstick__663_va_va_violet.jpg,purple_fuchsia,navy violet,color_coverage
lipstick__clinique__moisture_surge_pop_triple_lip_balm__acai,lipstick__clinique__moisture_surge_pop_triple_lip_balm__acai.jpg,purple_fuchsia,violet,color_coverage
lipstick__mac_cosmetics__macximal_sleek_satin_lipstick__cyber,lipstick__mac_cosmetics__macximal_sleek_satin_lipstick__cyber.jpg,purple_fuchsia,purple,color_coverage
lipstick__dior__addict_lip_glow_butter__105_lychee,lipstick__dior__addict_lip_glow_butter__105_lychee.jpg,purple_fuchsia,fuchsia,color_coverage
lipstick__hourglass__girl_lip_stylo__leader,lipstick__hourglass__girl_lip_stylo__leader.jpg,purple_fuchsia,fuchsia,color_coverage
lipstick__lancome__labsolu_lacquer_longlasting_liquid_lipstick__378_be_unique,lipstick__lancome__labsolu_lacquer_longlasting_liquid_lipstick__378_be_unique.jpg,purple_fuchsia,fuchsia,color_coverage
lipstick__huda_beauty__power_bullet_matte_lipstick__honeymoon,lipstick__huda_beauty__power_bullet_matte_lipstick__honeymoon.jpg,purple_fuchsia,lavender rose pink,color_coverage
lipstick__surratt_beauty__la_baton_rouge__elysian,lipstick__surratt_beauty__la_baton_rouge__elysian.jpg,purple_fuchsia,purple,color_coverage
lipstick__bodyography__lipstick__spank,lipstick__bodyography__lipstick__spank.jpg,purple_fuchsia,blue violet,color_coverage
lipstick__persona__ebalm__manifest,lipstick__persona__ebalm__manifest.jpg,red,red,color_coverage
lipstick__iconic_london__cloud_kiss_matte_lip_mousse__vixen,lipstick__iconic_london__cloud_kiss_matte_lip_mousse__vixen.jpg,red,ruby red,color_coverage
lipstick__hourglass__confession_ultra_slim_high_intensity_refillable_lipstick__my_icon_is,lipstick__hourglass__confession_ultra_slim_high_intensity_refillable_lipstick__my_icon_is.jpg,red,blue red,color_coverage
lipstick__colourpop__ultra_blotted_lip__keep_it_classy,lipstick__colourpop__ultra_blotted_lip__keep_it_classy.jpg,red,red,color_coverage
lipstick__yves_saint_laurent__the_slim_glow_matte_lipstick__204_private_carmine,lipstick__yves_saint_laurent__the_slim_glow_matte_lipstick__204_private_carmine.jpg,red,red nude,color_coverage
lipstick__sephora_collection__cream_lip_stain_liquid_lipstick__84_rose_redux,lipstick__sephora_collection__cream_lip_stain_liquid_lipstick__84_rose_redux.webp,red,pink red,color_coverage
lipstick__kvd_beauty__everlasting_liquid_lipstick__nahz_fur_atoo,lipstick__kvd_beauty__everlasting_liquid_lipstick__nahz_fur_atoo.webp,red,crimson,color_coverage
lipstick__honeybee_gardens__truly_natural_lipstick__queen_bee,lipstick__honeybee_gardens__truly_natural_lipstick__queen_bee.jpg,red,red,color_coverage
lipstick__dior__rouge_dior_refillable_lipstick__888_strong_red,lipstick__dior__rouge_dior_refillable_lipstick__888_strong_red.jpg,red,red,color_coverage
lipstick__tarte__maracuja_juicy_lip_vinyl__sheer_lotus,lipstick__tarte__maracuja_juicy_lip_vinyl__sheer_lotus.jpg,red,poppy pink,color_coverage
lipstick__mac_cosmetics__macximal_silky_matte_lipstick__red_rock,lipstick__mac_cosmetics__macximal_silky_matte_lipstick__red_rock.jpg,red,red,color_coverage
lipstick__ulta__velvet_matte_lip_crayon__jungle,lipstick__ulta__velvet_matte_lip_crayon__jungle.jpg,red,red pink,color_coverage
lipstick__merit__signature_lip_lightweight_matte_lipstick__vermillion,lipstick__merit__signature_lip_lightweight_matte_lipstick__vermillion.jpg,red,red,color_coverage
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__211a_red_in_love,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__211a_red_in_love.jpg,red,red,color_coverage
lipstick__yves_saint_laurent__rouge_pur_couture_the_bold_high_pigment_lipstick__02_wilful_red,lipstick__yves_saint_laurent__rouge_pur_couture_the_bold_high_pigment_lipstick__02_wilful_red.tif,red,red,color_coverage
lipstick__romnd__juicy_lasting_tint__24_peeling_angdoo,lipstick__romnd__juicy_lasting_tint__24_peeling_angdoo.jpg,red,red,color_coverage
lipstick__charlotte_tilbury__limitless_lucky_lips__raspberry_charm,lipstick__charlotte_tilbury__limitless_lucky_lips__raspberry_charm.png,red,pink red,color_coverage
lipstick__bobbi_brown__luxe_matte_lipstick__ruby,lipstick__bobbi_brown__luxe_matte_lipstick__ruby.jpg,red,ruby red,color_coverage
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__213r_sensuous_red,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__213r_sensuous_red.jpg,red,red,color_coverage
lipstick__fresh__sugar_lip_balm_hydrating_treatment__icon,lipstick__fresh__sugar_lip_balm_hydrating_treatment__icon.jpg,red,red,color_coverage
lipstick__lime_crime__lip_pops_satin_lipstick__oxblood,lipstick__lime_crime__lip_pops_satin_lipstick__oxblood.jpg,red,red,color_coverage
lipstick__yves_saint_laurent__rouge_pur_couture_the_bold_high_pigment_lipstick__14_nude_tribute,lipstick__yves_saint_laurent__rouge_pur_couture_the_bold_high_pigment_lipstick__14_nude_tribute.tif,red,red,color_coverage
lipstick__jouer_cosmetics__balm_bouche__sensualite,lipstick__jouer_cosmetics__balm_bouche__sensualite.jpg,rose,rose,color_coverage
lipstick__hourglass__girl_lip_stylo__activist,lipstick__hourglass__girl_lip_stylo__activist.jpg,rose,rose,color_coverage
lipstick__armani_beauty__rouge_darmani_matte_lipstick__501_milano,lipstick__armani_beauty__rouge_darmani_matte_lipstick__501_milano.jpg,rose,rose,color_coverage
lipstick__trestique__matte_lip_crayon_balm__sierra_sable,lipstick__trestique__matte_lip_crayon_balm__sierra_sable.jpg,rose,rose,color_coverage
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__104r_rosa_carezza,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__104r_rosa_carezza.jpg,rose,rose nude,color_coverage
lipstick__armani_beauty__rouge_darmani_matte_lipstick__103_downtown,lipstick__armani_beauty__rouge_darmani_matte_lipstick__103_downtown.jpg,rose,tan rose,color_coverage
lipstick__urban_decay__vice_hydrating_lipstick__ravenswood,lipstick__urban_decay__vice_hydrating_lipstick__ravenswood.jpg,rose,rose,color_coverage
lipstick__colourpop__blur_lux_lipstick__virgo_moon,lipstick__colourpop__blur_lux_lipstick__virgo_moon.jpg,rose,rose nude,color_coverage
lipstick__huda_beauty__liquid_matte_ultracomfort_transferproof_lipstick__trophy_wife,lipstick__huda_beauty__liquid_matte_ultracomfort_transferproof_lipstick__trophy_wife.jpg,rose,rosewood,color_coverage
lipstick__romnd__milk_tea_velvet_tint__07_rose_tea,lipstick__romnd__milk_tea_velvet_tint__07_rose_tea.jpg,rose,rose,color_coverage
lipstick__romnd__glasting_water_tint__05_rose_splash,lipstick__romnd__glasting_water_tint__05_rose_splash.jpg,rose,rose,color_coverage
lipstick__urban_decay__vice_lip_bond_glossy_longwear_liquid_lipstick__toy_with_me,lipstick__urban_decay__vice_lip_bond_glossy_longwear_liquid_lipstick__toy_with_me.jpg,rose,rose pink,color_coverage
lipstick__nars__full_vinyl_lip_lacquer__abruzzo,lipstick__nars__full_vinyl_lip_lacquer__abruzzo.jpg,rose,rose gold,color_coverage
lipstick__rose_inc__lip_cream_longwearing_matte_liquid_lipstick_with_squalane__two_were_one,lipstick__rose_inc__lip_cream_longwearing_matte_liquid_lipstick_with_squalane__two_were_one.jpg,rose,rose brown,color_coverage
lipstick__shiseido__visionairy_gel_lipstick__203_night_rose,lipstick__shiseido__visionairy_gel_lipstick__203_night_rose.jpg,rose,rose,color_coverage
lipstick__nudestix__intense_matte_lip_cheek_pencil__tamed,lipstick__nudestix__intense_matte_lip_cheek_pencil__tamed.jpg,rose,rose tan,color_coverage
lipstick__guerlain__rouge_g_satin_lipstick__06,lipstick__guerlain__rouge_g_satin_lipstick__06.jpg,rose,rosewood,color_coverage
lipstick__mac_cosmetics__macximal_silky_matte_lipstick__whirl,lipstick__mac_cosmetics__macximal_silky_matte_lipstick__whirl.jpg,rose,rose,color_coverage
lipstick__hynt_beauty__aria_pure_lipstick__passion_plum,lipstick__hynt_beauty__aria_pure_lipstick__passion_plum.jpg,rose,rose brown nude,color_coverage
lipstick__nars__audacious_lipstick__brigitte,lipstick__nars__audacious_lipstick__brigitte.jpg,rose,nude rose,color_coverage
lipstick__dior__rouge_ultra_rouge_lipstick__0_ultra_light,lipstick__dior__rouge_ultra_rouge_lipstick__0_ultra_light.jpg,silver_gray,white,color_coverage
lipstick__jeffree_star_cosmetics__velour_liquid_lipstick__drug_lord,lipstick__jeffree_star_cosmetics__velour_liquid_lipstick__drug_lord.jpg,silver_gray,white,color_coverage
lipstick__revolution_pro__supreme_matte_lip_pigment__psychedelic,lipstick__revolution_pro__supreme_matte_lip_pigment__psychedelic.jpg,silver_gray,white,color_coverage
lipstick__kvd_beauty__everlasting_liquid_lipstick__dagger,lipstick__kvd_beauty__everlasting_liquid_lipstick__dagger.jpg,silver_gray,gray,color_coverage
lipstick__melt_cosmetics__lipstick__tomboy,lipstick__melt_cosmetics__lipstick__tomboy.jpg,silver_gray,moss gray,color_coverage
